|6.6.6
dunite_stx11_1.tab                                                                                  
           2
P(bar)  
   10.000000000000000     
   1515.0505050505051     
         100
T(K)    
   800.00000000000000     
   14.141414141414142     
         100
           3
rho,kg/m3      vp,km/s        vs,km/s       
  3493.25        8.85538        4.95316     
  3496.62        8.86570        4.95644     
  3500.02        8.87612        4.95981     
  3503.38        8.88637        4.96306     
  3506.76        8.89673        4.96641     
  3510.09        8.90689        4.96963     
  3513.40        8.91699        4.97280     
  3516.74        8.92720        4.97608     
  3521.99        8.94609        4.98492     
  3534.35        8.99608        5.01391     
  3537.61        9.00600        5.01702     
  3540.85        9.01588        5.02012     
  3556.80        9.07934        5.05839     
  3565.39        9.11093        5.07593     
  3572.38        9.13648        5.08940     
  3725.22        9.77503        5.51832     
  3728.04        9.78402        5.52103     
  3730.88        9.79313        5.52383     
  3733.68        9.80207        5.52651     
  3736.48        9.81098        5.52918     
  3739.30        9.81999        5.53195     
  3742.08        9.82884        5.53460     
  3746.42        9.84507        5.54185     
  3760.16        9.90137        5.57457     
  3762.89        9.91002        5.57712     
  3765.62        9.91866        5.57966     
  3802.53        10.0520        5.66332     
  3816.59        10.1040        5.69445     
  3825.23        10.1337        5.71131     
  3845.71        10.2053        5.75617     
  3867.03        10.2777        5.80207     
  3877.63        10.3128        5.82293     
  3880.30        10.3207        5.82543     
  3882.94        10.3286        5.82785     
  3885.56        10.3364        5.83028     
  3888.13        10.3439        5.83244     
  3890.72        10.3516        5.83475     
  3893.34        10.3594        5.83715     
  3896.02        10.3674        5.83977     
  3221.45        7.21922        3.51952     
  3246.54        8.05575        4.66776     
  3251.52        8.07147        4.67381     
  3256.40        8.08692        4.67962     
  3268.08        8.12894        4.70233     
  3272.97        8.14396        4.70817     
  3277.21        8.15799        4.71260     
  3281.62        8.17282        4.71716     
  3286.08        8.18784        4.72177     
  3290.25        8.20154        4.72610     
  3294.67        8.21640        4.73064     
  3298.80        8.22991        4.73491     
  3303.12        8.24436        4.73938     
  3307.21        8.25769        4.74359     
  3311.28        8.27094        4.74777     
  3315.44        8.28462        4.75202     
  3319.47        8.29770        4.75616     
  3323.58        8.31127        4.76042     
  3327.58        8.32420        4.76450     
  3331.55        8.33705        4.76855     
  3335.58        8.35012        4.77265     
  3339.52        8.36283        4.77665     
  3343.44        8.37539        4.78060     
  3347.34        8.38795        4.78456     
  3351.23        8.40045        4.78849     
  3355.14        8.41300        4.79241     
  3359.00        8.42537        4.79630     
  3362.84        8.43767        4.80017     
  3366.67        8.44990        4.80401     
  3370.47        8.46208        4.80783     
  3374.28        8.47424        4.81164     
  3378.06        8.48629        4.81542     
