|6.6.6
peridotite_stx11_1.tab                                                                              
           2
P(bar)  
   10.000000000000000     
   1515.0505050505051     
         100
T(K)    
   800.00000000000000     
   14.141414141414142     
         100
           5
P(bar)         T(K)           rho,kg/m3      vp,km/s        vs,km/s       
  25765.9        828.283        3416.16        8.31592        4.74019     
  27280.9        828.283        3420.19        8.32951        4.74442     
  28796.0        828.283        3424.19        8.34279        4.74837     
  30311.0        828.283        3428.18        8.35578        4.75195     
  31826.1        828.283        3432.14        8.36887        4.75582     
  33341.1        828.283        3436.09        8.38189        4.75966     
  34856.2        828.283        3439.99        8.39486        4.76366     
  36371.2        828.283        3443.92        8.40797        4.76776     
  37886.3        828.283        3447.79        8.42046        4.77119     
  39401.3        828.283        3451.68        8.43346        4.77535     
  40916.4        828.283        3455.52        8.44585        4.77876     
  42431.4        828.283        3459.35        8.45839        4.78250     
  43946.5        828.283        3463.16        8.47094        4.78629     
  45461.5        828.283        3466.96        8.48343        4.79007     
  46976.6        828.283        3470.75        8.49581        4.79379     
  48491.6        828.283        3474.51        8.50798        4.79730     
  50006.7        828.283        3478.26        8.52025        4.80097     
  51521.7        828.283        3482.00        8.53252        4.80475     
  53036.8        828.283        3485.74        8.54453        4.80820     
  54551.8        828.283        3489.44        8.55672        4.81199     
  56066.9        828.283        3493.13        8.56853        4.81533     
  57581.9        828.283        3496.83        8.58072        4.81918     
  59097.0        828.283        3500.47        8.59227        4.82232     
  60612.0        828.283        3504.15        8.60449        4.82632     
  62127.1        828.283        3507.80        8.61626        4.82983     
  63642.1        828.283        3511.44        8.62808        4.83337     
  65157.2        828.283        3515.04        8.63941        4.83647     
  66672.2        828.283        3518.68        8.65115        4.84014     
  68187.3        828.283        3522.22        8.66275        4.84360     
  69702.3        828.283        3531.63        8.69691        4.86938     
  71217.4        828.283        3539.37        8.72450        4.88884     
  72732.4        828.283        3542.94        8.73599        4.89269     
  74247.5        828.283        3546.38        8.74680        4.89583     
  75762.5        828.283        3550.02        8.75891        4.90047     
  77277.6        828.283        3553.57        8.77054        4.90458     
  78792.6        828.283        3557.06        8.78178        4.90830     
  80307.7        828.283        3560.56        8.79294        4.91194     
  81822.7        828.283        3564.06        8.80434        4.91591     
  83337.8        828.283        3567.53        8.81543        4.91952     
  84852.8        828.283        3571.00        8.82670        4.92339     
  86367.9        828.283        3574.46        8.83780        4.92707     
  87882.9        828.283        3577.94        8.84905        4.93095     
  89398.0        828.283        3581.37        8.86006        4.93460     
  90913.0        828.283        3584.88        8.87148        4.93865     
  92428.1        828.283        3588.24        8.88214        4.94203     
  93943.1        828.283        3591.65        8.89309        4.94570     
  95458.2        828.283        3595.07        8.90407        4.94941     
  96973.2        828.283        3599.04        8.91752        4.95459     
  98488.3        828.283        3605.19        8.94021        4.96548     
  100003.        828.283        3611.25        8.96255        4.97613     
  101518.        828.283        3617.63        8.98643        4.98770     
  103033.        828.283        3623.51        9.00826        4.99802     
  104548.        828.283        3637.88        9.06075        5.02893     
  106064.        828.283        3643.65        9.08316        5.03961     
  107579.        828.283        3653.34        9.11873        5.05936     
  109094.        828.283        3661.29        9.14797        5.07458     
  110609.        828.283        3669.76        9.17983        5.09167     
  112124.        828.283        3676.89        9.20665        5.10542     
  113639.        828.283        3759.88        9.53033        5.32108     
  115154.        828.283        3764.60        9.54908        5.32949     
  116669.        828.283        3770.65        9.57235        5.34092     
  118184.        828.283        3776.73        9.59461        5.35180     
  119699.        828.283        3785.38        9.62466        5.36787     
  121214.        828.283        3794.84        9.65702        5.38555     
  122729.        828.283        3792.96        9.65762        5.38153     
  124244.        828.283        3801.71        9.68805        5.39784     
  125759.        828.283        3812.04        9.72323        5.41752     
  127274.        828.283        3820.08        9.75137        5.43239     
  128789.        828.283        3827.62        9.77871        5.44666     
  130304.        828.283        3881.34        9.96492        5.56323     
  131819.        828.283        3897.00        10.0213        5.59911     
  133334.        828.283        3904.52        10.0542        5.62201     
  134849.        828.283        3911.80        10.0861        5.64407     
  136365.        828.283        3917.87        10.1109        5.66060     
  137880.        828.283        3924.55        10.1395        5.68018     
  139395.        828.283        3932.22        10.1741        5.70470     
  140910.        828.283        3942.57        10.2227        5.74101     
  142425.        828.283        3946.31        10.2353        5.74772     
  143940.        828.283        3951.77        10.2575        5.76230     
  145455.        828.283        3954.73        10.2665        5.76603     
  146970.        828.283        3957.26        10.2737        5.76804     
  148485.        828.283        3959.86        10.2812        5.77043     
  150000.        828.283        3962.40        10.2883        5.77252     
  10.0000        842.424        3174.81        7.07695        3.53056     
  1525.05        842.424        3218.87        7.75401        4.44780     
  3040.10        842.424        3225.45        7.77458        4.45642     
  4555.15        842.424        3231.77        7.79445        4.46452     
  6070.20        842.424        3242.84        7.82934        4.48258     
  7585.25        842.424        3356.36        8.10953        4.67773     
  9100.30        842.424        3367.75        8.14959        4.68919     
  10615.4        842.424        3372.33        8.16541        4.69363     
  12130.4        842.424        3376.88        8.18081        4.69763     
  13645.5        842.424        3380.77        8.19387        4.70193     
  15160.5        842.424        3385.18        8.20901        4.70633     
  16675.6        842.424        3389.72        8.22450        4.71056     
  18190.6        842.424        3394.03        8.23908        4.71475     
  19705.7        842.424        3398.22        8.25328        4.71899     
  21220.7        842.424        3402.35        8.26711        4.72308     
  22735.8        842.424        3406.54        8.28111        4.72707     
  24250.8        842.424        3410.65        8.29492        4.73126     
  25765.9        842.424        3414.72        8.30847        4.73523     
  27280.9        842.424        3418.72        8.32164        4.73901     
  28796.0        842.424        3422.77        8.33523        4.74311     
  30311.0        842.424        3426.76        8.34844        4.74700     
  31826.1        842.424        3430.75        8.36174        4.75111     
  33341.1        842.424        3434.69        8.37468        4.75481     
  34856.2        842.424        3438.60        8.38759        4.75869     
  36371.2        842.424        3442.52        8.40045        4.76242     
  37886.3        842.424        3446.44        8.41360        4.76663     
  39401.3        842.424        3450.31        8.42615        4.77021     
  40916.4        842.424        3454.17        8.43893        4.77410     
  42431.4        842.424        3458.02        8.45161        4.77795     
  43946.5        842.424        3461.84        8.46394        4.78142     
  45461.5        842.424        3465.63        8.47631        4.78501     
  46976.6        842.424        3469.41        8.48872        4.78879     
  48491.6        842.424        3473.18        8.50100        4.79238     
  50006.7        842.424        3476.95        8.51326        4.79599     
  51521.7        842.424        3480.70        8.52554        4.79973     
  53036.8        842.424        3484.44        8.53778        4.80349     
