|6.6.6
peridotite_hpha02_1.tab                                                                             
           2
P(bar)  
   10.000000000000000     
   1515.0505050505051     
         100
T(K)    
   800.00000000000000     
   14.141414141414142     
         100
           5
P(bar)         T(K)           rho,kg/m3      vp,km/s        vs,km/s       
  9100.30        828.283        3322.36        8.03937        4.66445     
  10615.4        828.283        3326.77        8.05462        4.66985     
  12130.4        828.283        3344.94        8.11723        4.69526     
  13645.5        828.283        3366.60        8.19111        4.72498     
  15160.5        828.283        3371.94        8.20881        4.73199     
  16675.6        828.283        3377.13        8.22583        4.73862     
  18190.6        828.283        3381.70        8.24084        4.74446     
  19705.7        828.283        3386.09        8.25519        4.75003     
  21220.7        828.283        3390.80        8.27066        4.75619     
  22735.8        828.283        3396.72        8.29005        4.76381     
  24250.8        828.283        3401.25        8.30477        4.76951     
  25765.9        828.283        3405.61        8.31897        4.77515     
  27280.9        828.283        3409.80        8.33249        4.78040     
  28796.0        828.283        3414.10        8.34646        4.78589     
  30311.0        828.283        3418.63        8.36121        4.79162     
  31826.1        828.283        3422.86        8.37489        4.79701     
  33341.1        828.283        3427.02        8.38836        4.80234     
  34856.2        828.283        3430.87        8.40064        4.80727     
  36371.2        828.283        3435.19        8.41470        4.81274     
  37886.3        828.283        3439.19        8.42755        4.81773     
  39401.3        828.283        3443.28        8.44079        4.82309     
  40916.4        828.283        3447.28        8.45364        4.82827     
  42431.4        828.283        3451.30        8.46665        4.83337     
  43946.5        828.283        3455.26        8.47937        4.83842     
  45461.5        828.283        3459.20        8.49205        4.84346     
  46976.6        828.283        3463.10        8.50462        4.84847     
  48491.6        828.283        3467.00        8.51717        4.85350     
  50006.7        828.283        3470.84        8.52952        4.85849     
  51521.7        828.283        3474.74        8.54212        4.86348     
  53036.8        828.283        3478.56        8.55444        4.86838     
  54551.8        828.283        3482.41        8.56682        4.87340     
  56066.9        828.283        3486.22        8.57907        4.87830     
  57581.9        828.283        3490.03        8.59137        4.88327     
  59097.0        828.283        3493.82        8.60366        4.88817     
  60612.0        828.283        3497.62        8.61591        4.89313     
  62127.1        828.283        3501.38        8.62804        4.89801     
  63642.1        828.283        3505.12        8.64014        4.90291     
  65157.2        828.283        3508.86        8.65221        4.90780     
  66672.2        828.283        3512.58        8.66427        4.91270     
  68187.3        828.283        3516.30        8.67631        4.91760     
  69702.3        828.283        3520.00        8.68830        4.92249     
  71217.4        828.283        3523.70        8.70026        4.92740     
  72732.4        828.283        3527.38        8.71219        4.93229     
  74247.5        828.283        3531.04        8.72409        4.93711     
  75762.5        828.283        3534.69        8.73595        4.94191     
  77277.6        828.283        3538.35        8.74779        4.94681     
