|6.6.6
dunite_hpha02_1.tab                                                                                 
           2
P(bar)  
   10.000000000000000     
   1515.0505050505051     
         100
T(K)    
   800.00000000000000     
   14.141414141414142     
         100
           5
P(bar)         T(K)           rho,kg/m3      vp,km/s        vs,km/s       
  83337.8        814.141        3466.47        8.78746        4.97633     
  84852.8        814.141        3470.03        8.79883        4.98096     
  86367.9        814.141        3473.58        8.81019        4.98560     
  87882.9        814.141        3477.11        8.82151        4.99022     
  89398.0        814.141        3480.63        8.83281        4.99483     
  90913.0        814.141        3484.15        8.84408        4.99945     
  92428.1        814.141        3487.65        8.85534        5.00407     
  93943.1        814.141        3491.15        8.86656        5.00868     
  95458.2        814.141        3494.63        8.87776        5.01326     
  96973.2        814.141        3498.10        8.88893        5.01785     
  98488.3        814.141        3501.57        8.90009        5.02245     
  100003.        814.141        3505.02        8.91121        5.02702     
  101518.        814.141        3508.46        8.92232        5.03160     
  103033.        814.141        3511.89        8.93339        5.03617     
  104548.        814.141        3515.31        8.94444        5.04072     
  106064.        814.141        3518.72        8.95548        5.04528     
  107579.        814.141        3522.12        8.96649        5.04983     
  109094.        814.141        3525.52        8.97747        5.05438     
  110609.        814.141        3528.90        8.98844        5.05892     
  112124.        814.141        3532.27        8.99938        5.06345     
  113639.        814.141        3535.63        9.01029        5.06797     
  115154.        814.141        3538.98        9.02118        5.07249     
  116669.        814.141        3542.33        9.03207        5.07702     
  118184.        814.141        3545.66        9.04291        5.08152     
  119699.        814.141        3548.99        9.05375        5.08604     
  121214.        814.141        3552.30        9.06455        5.09054     
  122729.        814.141        3555.61        9.07533        5.09503     
  124244.        814.141        3558.91        9.08609        5.09951     
  125759.        814.141        3562.19        9.09683        5.10400     
  127274.        814.141        3565.47        9.10755        5.10847     
  128789.        814.141        3568.74        9.11824        5.11293     
  130304.        814.141        3572.00        9.12893        5.11742     
  131819.        814.141        3575.25        9.13958        5.12188     
  133334.        814.141        3578.50        9.15019        5.12631     
  134849.        814.141        3581.73        9.16080        5.13076     
  136365.        814.141        3584.95        9.17139        5.13520     
  137880.        814.141        3606.96        9.23192        5.18750     
  139395.        814.141        3610.14        9.24194        5.19189     
  140910.        814.141        3613.31        9.25197        5.19628     
  142425.        814.141        3616.48        9.26201        5.20069     
  143940.        814.141        3619.64        9.27200        5.20507     
  145455.        814.141        3622.78        9.28194        5.20944     
  146970.        814.141        3625.93        9.29192        5.21382     
  148485.        814.141        3629.06        9.30184        5.21818     
  150000.        814.141        3632.19        9.31177        5.22255     
  10.0000        828.283        3238.52        8.07249        4.67873     
  1525.05        828.283        3242.95        8.08543        4.68514     
  3040.10        828.283        3247.48        8.09977        4.69123     
  4555.15        828.283        3252.04        8.11424        4.69744     
  6070.20        828.283        3256.63        8.12875        4.70369     
  7585.25        828.283        3261.16        8.14307        4.70980     
  9100.30        828.283        3265.68        8.15719        4.71586     
  10615.4        828.283        3278.06        8.19754        4.73970     
  12130.4        828.283        3282.27        8.21049        4.74467     
  13645.5        828.283        3286.47        8.22340        4.74963     
  15160.5        828.283        3290.64        8.23624        4.75456     
  16675.6        828.283        3294.81        8.24908        4.75951     
  18190.6        828.283        3299.41        8.26332        4.76510     
  19705.7        828.283        3303.63        8.27621        4.77013     
  21220.7        828.283        3307.79        8.28899        4.77511     
  22735.8        828.283        3312.03        8.30186        4.78016     
  24250.8        828.283        3316.11        8.31447        4.78506     
  25765.9        828.283        3320.26        8.32716        4.79004     
  27280.9        828.283        3324.39        8.33982        4.79501     
  28796.0        828.283        3328.46        8.35239        4.79993     
  30311.0        828.283        3332.56        8.36498        4.80490     
  31826.1        828.283        3336.60        8.37746        4.80980     
  33341.1        828.283        3340.62        8.38990        4.81469     
  34856.2        828.283        3344.56        8.40222        4.81953     
  36371.2        828.283        3348.58        8.41462        4.82442     
  37886.3        828.283        3352.54        8.42694        4.82928     
  39401.3        828.283        3356.49        8.43922        4.83412     
  40916.4        828.283        3360.42        8.45147        4.83898     
  42431.4        828.283        3364.34        8.46370        4.84382     
  43946.5        828.283        3368.24        8.47587        4.84864     
  45461.5        828.283        3372.13        8.48800        4.85345     
  46976.6        828.283        3375.99        8.50010        4.85825     
  48491.6        828.283        3379.85        8.51218        4.86305     
  50006.7        828.283        3383.69        8.52421        4.86784     
  51521.7        828.283        3387.52        8.53623        4.87263     
  53036.8        828.283        3391.34        8.54822        4.87743     
  54551.8        828.283        3395.14        8.56017        4.88219     
  56066.9        828.283        3398.92        8.57209        4.88695     
  57581.9        828.283        3402.70        8.58396        4.89171     
  59097.0        828.283        3406.46        8.59584        4.89648     
  60612.0        828.283        3410.23        8.60768        4.90125     
  62127.1        828.283        3413.97        8.61939        4.90594     
  63642.1        828.283        3417.69        8.63117        4.91069     
  65157.2        828.283        3421.41        8.64290        4.91541     
  66672.2        828.283        3425.12        8.65462        4.92014     
  68187.3        828.283        3428.81        8.66631        4.92486     
  69702.3        828.283        3432.48        8.67799        4.92959     
  71217.4        828.283        3436.15        8.68961        4.93428     
  72732.4        828.283        3439.80        8.70121        4.93898     
  74247.5        828.283        3443.42        8.71262        4.94341     
  75762.5        828.283        3447.07        8.72431        4.94833     
  77277.6        828.283        3450.70        8.73589        4.95306     
  78792.6        828.283        3454.30        8.74738        4.95773     
  80307.7        828.283        3457.90        8.75884        4.96239     
  81822.7        828.283        3461.48        8.77028        4.96705     
  83337.8        828.283        3465.06        8.78170        4.97171     
  84852.8        828.283        3468.62        8.79309        4.97635     
  86367.9        828.283        3472.17        8.80445        4.98099     
  87882.9        828.283        3475.71        8.81578        4.98562     
  89398.0        828.283        3479.24        8.82709        4.99023     
  90913.0        828.283        3482.76        8.83838        4.99487     
  92428.1        828.283        3486.27        8.84964        4.99949     
  93943.1        828.283        3489.77        8.86088        5.00411     
  95458.2        828.283        3493.25        8.87209        5.00870     
  96973.2        828.283        3496.73        8.88327        5.01331     
  98488.3        828.283        3500.20        8.89443        5.01789     
  100003.        828.283        3503.66        8.90558        5.02250     
  101518.        828.283        3507.10        8.91669        5.02707     
  103033.        828.283        3510.54        8.92777        5.03164     
  104548.        828.283        3513.96        8.93883        5.03620     
  106064.        828.283        3517.38        8.94987        5.04077     
  107579.        828.283        3520.78        8.96090        5.04533     
  109094.        828.283        3524.18        8.97189        5.04989     
  110609.        828.283        3527.57        8.98286        5.05442     
  112124.        828.283        3530.94        8.99382        5.05896     
  113639.        828.283        3534.31        9.00474        5.06350     
  115154.        828.283        3537.67        9.01564        5.06802     
  116669.        828.283        3541.02        9.02653        5.07255     
  118184.        828.283        3544.35        9.03737        5.07704     
  119699.        828.283        3547.68        9.04822        5.08156     
  121214.        828.283        3551.00        9.05903        5.08607     
  122729.        828.283        3554.31        9.06982        5.09057     
  124244.        828.283        3557.61        9.08059        5.09506     
  125759.        828.283        3560.90        9.09134        5.09956     
  127274.        828.283        3564.19        9.10207        5.10403     
  128789.        828.283        3567.46        9.11280        5.10853     
  130304.        828.283        3570.73        9.12349        5.11302     
  131819.        828.283        3573.98        9.13414        5.11747     
