|6.6.6
dunite_hp02_1.tab                                                                                   
           2
P(bar)  
   10.000000000000000     
   1515.0505050505051     
         100
T(K)    
   800.00000000000000     
   14.141414141414142     
         100
           5
P(bar)         T(K)           rho,kg/m3      vp,km/s        vs,km/s       
  34856.2        828.283        3344.57        8.38268        4.80679     
  36371.2        828.283        3348.58        8.39483        4.81213     
  37886.3        828.283        3352.54        8.40675        4.81736     
  39401.3        828.283        3356.48        8.41864        4.82258     
  40916.4        828.283        3360.41        8.43051        4.82780     
  42431.4        828.283        3364.34        8.44239        4.83303     
  43946.5        828.283        3368.24        8.45418        4.83822     
  45461.5        828.283        3372.12        8.46594        4.84339     
  46976.6        828.283        3375.99        8.47764        4.84855     
  48491.6        828.283        3379.84        8.48932        4.85369     
  50006.7        828.283        3383.69        8.50100        4.85886     
  51521.7        828.283        3387.51        8.51263        4.86399     
  53036.8        828.283        3391.33        8.52428        4.86914     
  54551.8        828.283        3395.13        8.53585        4.87425     
  56066.9        828.283        3398.92        8.54740        4.87937     
  57581.9        828.283        3402.70        8.55896        4.88449     
  59097.0        828.283        3406.46        8.57044        4.88957     
  60612.0        828.283        3410.22        8.58198        4.89468     
  62127.1        828.283        3413.97        8.59333        4.89978     
  63642.1        828.283        3417.69        8.60476        4.90486     
  65157.2        828.283        3421.41        8.61621        4.90995     
  66672.2        828.283        3425.12        8.62759        4.91501     
  68187.3        828.283        3428.80        8.63894        4.92005     
  69702.3        828.283        3432.48        8.65027        4.92509     
  71217.4        828.283        3436.15        8.66158        4.93013     
  72732.4        828.283        3439.80        8.67286        4.93516     
  74247.5        828.283        3443.44        8.68411        4.94018     
  75762.5        828.283        3447.07        8.69535        4.94519     
  77277.6        828.283        3450.69        8.70656        4.95019     
  78792.6        828.283        3454.30        8.71774        4.95519     
  80307.7        828.283        3457.89        8.72890        4.96017     
  81822.7        828.283        3461.48        8.74004        4.96516     
  83337.8        828.283        3465.05        8.75116        4.97014     
  84852.8        828.283        3468.62        8.76226        4.97511     
  86367.9        828.283        3472.17        8.77333        4.98006     
  87882.9        828.283        3475.71        8.78438        4.98502     
  89398.0        828.283        3479.24        8.79539        4.98993     
  90913.0        828.283        3482.76        8.80640        4.99489     
  92428.1        828.283        3486.27        8.81739        4.99984     
  93943.1        828.283        3489.76        8.82835        5.00476     
  95458.2        828.283        3493.25        8.83929        5.00968     
  96973.2        828.283        3496.73        8.85022        5.01461     
  98488.3        828.283        3500.20        8.86110        5.01949     
  100003.        828.283        3503.65        8.87197        5.02440     
  101518.        828.283        3507.10        8.88283        5.02929     
  103033.        828.283        3510.54        8.89367        5.03418     
  104548.        828.283        3513.96        8.90447        5.03904     
  106064.        828.283        3517.38        8.91525        5.04392     
  107579.        828.283        3520.78        8.92601        5.04877     
  109094.        828.283        3524.18        8.93677        5.05364     
  110609.        828.283        3527.56        8.94749        5.05848     
  112124.        828.283        3530.94        8.95820        5.06333     
  113639.        828.283        3534.31        8.96888        5.06816     
  115154.        828.283        3537.67        8.97954        5.07298     
  116669.        828.283        3541.01        8.99018        5.07780     
  118184.        828.283        3544.35        9.00079        5.08260     
  119699.        828.283        3547.68        9.01139        5.08741     
  121214.        828.283        3551.00        9.02198        5.09222     
  122729.        828.283        3554.31        9.03254        5.09702     
  124244.        828.283        3557.61        9.04308        5.10180     
  125759.        828.283        3560.90        9.05360        5.10657     
  127274.        828.283        3564.18        9.06409        5.11134     
  128789.        828.283        3567.46        9.07458        5.11611     
  130304.        828.283        3570.72        9.08504        5.12088     
  131819.        828.283        3573.98        9.09548        5.12563     
  133334.        828.283        3577.22        9.10589        5.13037     
  134849.        828.283        3580.46        9.11630        5.13511     
  136365.        828.283        3583.69        9.12668        5.13983     
  137880.        828.283        3605.66        9.24880        5.21052     
  139395.        828.283        3608.85        9.25927        5.21546     
  140910.        828.283        3612.03        9.26972        5.22037     
  142425.        828.283        3615.20        9.28018        5.22531     
  143940.        828.283        3618.37        9.29060        5.23023     
  145455.        828.283        3621.51        9.30094        5.23509     
  146970.        828.283        3624.66        9.31136        5.24002     
  148485.        828.283        3627.80        9.32172        5.24490     
  150000.        828.283        3630.93        9.33207        5.24980     
  10.0000        842.424        3236.77        8.05847        4.65142     
  1525.05        842.424        3241.21        8.07008        4.65786     
  3040.10        842.424        3245.86        8.08362        4.66419     
  4555.15        842.424        3250.34        8.09694        4.67037     
  6070.20        842.424        3254.91        8.11030        4.67658     
  7585.25        842.424        3259.46        8.12360        4.68273     
  9100.30        842.424        3263.90        8.13676        4.68880     
  10615.4        842.424        3276.36        8.17755        4.71484     
  12130.4        842.424        3280.57        8.18993        4.72020     
  13645.5        842.424        3284.77        8.20228        4.72554     
  15160.5        842.424        3288.96        8.21459        4.73088     
  16675.6        842.424        3293.13        8.22689        4.73621     
  18190.6        842.424        3297.68        8.24064        4.74230     
  19705.7        842.424        3301.95        8.25351        4.74794     
  21220.7        842.424        3306.12        8.26597        4.75340     
  22735.8        842.424        3310.35        8.27878        4.75901     
  24250.8        842.424        3314.44        8.29088        4.76429     
  25765.9        842.424        3318.64        8.30365        4.76990     
  27280.9        842.424        3322.75        8.31599        4.77532     
  28796.0        842.424        3326.83        8.32826        4.78068     
  30311.0        842.424        3330.90        8.34048        4.78604     
  31826.1        842.424        3334.97        8.35277        4.79145     
  33341.1        842.424        3339.00        8.36488        4.79675     
  34856.2        842.424        3342.97        8.37674        4.80195     
  36371.2        842.424        3346.98        8.38887        4.80728     
  37886.3        842.424        3350.96        8.40088        4.81257     
  39401.3        842.424        3354.89        8.41266        4.81773     
  40916.4        842.424        3358.84        8.42462        4.82300     
  42431.4        842.424        3362.75        8.43643        4.82820     
  43946.5        842.424        3366.67        8.44830        4.83343     
  45461.5        842.424        3370.56        8.46006        4.83860     
  46976.6        842.424        3374.44        8.47179        4.84378     
  48491.6        842.424        3378.30        8.48348        4.84893     
  50006.7        842.424        3382.15        8.49520        4.85412     
  51521.7        842.424        3385.98        8.50680        4.85924     
  53036.8        842.424        3389.81        8.51851        4.86444     
  54551.8        842.424        3393.61        8.53005        4.86953     
  56066.9        842.424        3397.41        8.54165        4.87467     
  57581.9        842.424        3401.19        8.55316        4.87976     
  59097.0        842.424        3404.96        8.56470        4.88488     
  60612.0        842.424        3408.72        8.57621        4.88999     
  62127.1        842.424        3412.47        8.58772        4.89511     
  63642.1        842.424        3416.20        8.59916        4.90018     
  65157.2        842.424        3419.94        8.61052        4.90530     
  66672.2        842.424        3423.64        8.62191        4.91036     
  68187.3        842.424        3427.34        8.63327        4.91542     
  69702.3        842.424        3431.02        8.64461        4.92046     
  71217.4        842.424        3434.69        8.65592        4.92549     
  72732.4        842.424        3438.35        8.66721        4.93054     
  74247.5        842.424        3441.99        8.67848        4.93557     
  75762.5        842.424        3445.63        8.68972        4.94059     
  77277.6        842.424        3449.25        8.70094        4.94560     
  78792.6        842.424        3452.86        8.71214        4.95060     
  80307.7        842.424        3456.47        8.72331        4.95560     
  81822.7        842.424        3460.06        8.73446        4.96059     
  83337.8        842.424        3463.64        8.74559        4.96557     
  84852.8        842.424        3467.20        8.75669        4.97054     
  86367.9        842.424        3470.76        8.76777        4.97551     
  87882.9        842.424        3474.30        8.77883        4.98048     
  89398.0        842.424        3477.84        8.78986        4.98542     
  90913.0        842.424        3481.36        8.80088        4.99038     
  92428.1        842.424        3484.88        8.81186        4.99531     
  93943.1        842.424        3488.38        8.82285        5.00026     
  95458.2        842.424        3491.87        8.83380        5.00519     
  96973.2        842.424        3495.35        8.84472        5.01010     
  98488.3        842.424        3498.83        8.85562        5.01501     
  100003.        842.424        3502.29        8.86650        5.01991     
  101518.        842.424        3505.74        8.87736        5.02481     
  103033.        842.424        3509.18        8.88821        5.02971     
  104548.        842.424        3512.61        8.89902        5.03460     
  106064.        842.424        3516.03        8.90981        5.03946     
  107579.        842.424        3519.44        8.92059        5.04433     
  109094.        842.424        3522.84        8.93135        5.04920     
  110609.        842.424        3526.23        8.94208        5.05406     
  112124.        842.424        3529.61        8.95278        5.05889     
  113639.        842.424        3532.98        8.96347        5.06373     
  115154.        842.424        3536.34        8.97414        5.06857     
  116669.        842.424        3539.70        8.98481        5.07341     
  118184.        842.424        3543.04        8.99543        5.07822     
  119699.        842.424        3546.37        9.00604        5.08303     
  121214.        842.424        3549.69        9.01663        5.08784     
  122729.        842.424        3553.01        9.02719        5.09263     
  124244.        842.424        3556.31        9.03773        5.09741     
  125759.        842.424        3559.61        9.04827        5.10222     
  127274.        842.424        3562.90        9.05878        5.10700     
  128789.        842.424        3566.17        9.06926        5.11176     
  130304.        842.424        3569.44        9.07974        5.11653     
  131819.        842.424        3572.70        9.09018        5.12128     
  133334.        842.424        3575.95        9.10061        5.12603     
  134849.        842.424        3579.19        9.11102        5.13079     
  136365.        842.424        3582.43        9.12141        5.13553     
  137880.        842.424        3585.65        9.13178        5.14025     
  139395.        842.424        3607.54        9.25382        5.21100     
  140910.        842.424        3610.73        9.26433        5.21598     
  142425.        842.424        3613.90        9.27477        5.22090     
  143940.        842.424        3617.08        9.28523        5.22584     
  145455.        842.424        3620.23        9.29562        5.23074     
  146970.        842.424        3623.38        9.30600        5.23563     
  148485.        842.424        3626.53        9.31639        5.24055     
  150000.        842.424        3629.66        9.32673        5.24543     
  10.0000        856.566        3235.02        8.05229        4.64639     
  1525.05        856.566        3239.48        8.06393        4.65285     
  3040.10        856.566        3244.01        8.07735        4.65911     
