|6.6.6
peridotite_hp02_1.tab                                                                               
           2
P(bar)  
   10.000000000000000     
   1515.0505050505051     
         100
T(K)    
   800.00000000000000     
   14.141414141414142     
         100
           5
P(bar)         T(K)           rho,kg/m3      vp,km/s        vs,km/s       
  10.0000        828.283        3210.69        7.79330        4.45446     
  1525.05        828.283        3220.18        7.81422        4.47027     
  3040.10        828.283        3227.79        7.83380        4.48277     
  4555.15        828.283        3308.58        7.98590        4.60386     
  6070.20        828.283        3313.50        8.00030        4.61020     
  7585.25        828.283        3317.94        8.01280        4.61518     
  9100.30        828.283        3322.36        8.02535        4.62021     
  10615.4        828.283        3326.77        8.03784        4.62520     
  12130.4        828.283        3344.94        8.09733        4.65235     
  13645.5        828.283        3366.60        8.17038        4.68494     
  15160.5        828.283        3371.98        8.18789        4.69286     
  16675.6        828.283        3377.16        8.20452        4.69983     
  18190.6        828.283        3381.70        8.21811        4.70530     
  19705.7        828.283        3386.09        8.23113        4.71096     
  21220.7        828.283        3390.81        8.24575        4.71740     
  22735.8        828.283        3396.72        8.26619        4.72574     
  24250.8        828.283        3401.25        8.28008        4.73175     
  25765.9        828.283        3405.62        8.29321        4.73747     
  27280.9        828.283        3409.80        8.30553        4.74282     
  28796.0        828.283        3414.11        8.31851        4.74848     
  30311.0        828.283        3418.65        8.33266        4.75455     
  31826.1        828.283        3422.87        8.34533        4.76005     
  33341.1        828.283        3427.03        8.35775        4.76546     
  34856.2        828.283        3430.87        8.36862        4.77035     
  36371.2        828.283        3435.20        8.38198        4.77618     
  37886.3        828.283        3439.21        8.39378        4.78129     
  39401.3        828.283        3443.28        8.40596        4.78669     
  40916.4        828.283        3447.28        8.41780        4.79198     
  42431.4        828.283        3451.30        8.42982        4.79712     
  43946.5        828.283        3455.26        8.44154        4.80231     
  45461.5        828.283        3459.20        8.45321        4.80748     
  46976.6        828.283        3463.10        8.46478        4.81261     
  48491.6        828.283        3467.00        8.47635        4.81779     
  50006.7        828.283        3470.84        8.48762        4.82288     
  51521.7        828.283        3474.74        8.49931        4.82803     
  53036.8        828.283        3478.56        8.51060        4.83305     
  54551.8        828.283        3482.41        8.52207        4.83824     
  56066.9        828.283        3486.23        8.53342        4.84337     
  57581.9        828.283        3490.03        8.54474        4.84844     
  59097.0        828.283        3493.82        8.55605        4.85341     
  60612.0        828.283        3497.62        8.56744        4.85854     
  62127.1        828.283        3501.38        8.57865        4.86359     
  63642.1        828.283        3505.12        8.58983        4.86864     
  65157.2        828.283        3508.86        8.60100        4.87370     
  66672.2        828.283        3512.58        8.61215        4.87875     
  68187.3        828.283        3516.30        8.62331        4.88383     
  69702.3        828.283        3520.00        8.63442        4.88887     
  71217.4        828.283        3523.69        8.64545        4.89387     
  72732.4        828.283        3527.36        8.65651        4.89889     
  74247.5        828.283        3531.03        8.66756        4.90394     
  75762.5        828.283        3534.69        8.67859        4.90900     
  77277.6        828.283        3538.33        8.68954        4.91398     
  78792.6        828.283        3541.96        8.70051        4.91901     
  80307.7        828.283        3545.58        8.71145        4.92392     
  81822.7        828.283        3549.20        8.72238        4.92897     
  83337.8        828.283        3552.78        8.73324        4.93387     
  84852.8        828.283        3556.38        8.74413        4.93891     
  86367.9        828.283        3559.96        8.75499        4.94391     
  87882.9        828.283        3563.53        8.76582        4.94889     
  89398.0        828.283        3567.09        8.77664        4.95389     
  90913.0        828.283        3570.63        8.78741        4.95883     
  92428.1        828.283        3574.17        8.79818        4.96381     
  93943.1        828.283        3577.69        8.80893        4.96878     
  95458.2        828.283        3581.21        8.81965        4.97374     
  96973.2        828.283        3584.72        8.83036        4.97871     
  98488.3        828.283        3588.21        8.84102        4.98364     
  100003.        828.283        3591.70        8.85168        4.98855     
  101518.        828.283        3595.18        8.86234        4.99355     
  103033.        828.283        3598.65        8.87299        4.99855     
  104548.        828.283        3602.11        8.88360        5.00350     
  106064.        828.283        3605.55        8.89415        5.00836     
  107579.        828.283        3608.99        8.90469        5.01328     
  109094.        828.283        3612.42        8.91525        5.01820     
  110609.        828.283        3615.84        8.92578        5.02315     
  112124.        828.283        3619.23        8.93620        5.02788     
  113639.        828.283        3622.63        8.94669        5.03282     
  115154.        828.283        3626.03        8.95716        5.03774     
  116669.        828.283        3629.41        8.96761        5.04265     
  118184.        828.283        3632.79        8.97805        5.04761     
  119699.        828.283        3636.16        8.98845        5.05251     
  121214.        828.283        3639.50        8.99879        5.05726     
  122729.        828.283        3642.84        9.00914        5.06209     
  124244.        828.283        3646.18        9.01948        5.06694     
  125759.        828.283        3649.51        9.02980        5.07180     
  127274.        828.283        3652.82        9.04010        5.07663     
  128789.        828.283        3656.13        9.05038        5.08148     
  130304.        828.283        3659.44        9.06064        5.08631     
  131819.        828.283        3662.73        9.07088        5.09113     
  133334.        828.283        3666.03        9.08116        5.09609     
  134849.        828.283        3669.30        9.09134        5.10086     
  136365.        828.283        3672.57        9.10157        5.10574     
  137880.        828.283        3705.37        9.28266        5.21017     
  139395.        828.283        3709.36        9.29708        5.21883     
  140910.        828.283        3713.21        9.31083        5.22688     
  142425.        828.283        3717.34        9.32610        5.23626     
  143940.        828.283        3721.34        9.34067        5.24512     
  145455.        828.283        3724.93        9.35308        5.25207     
  146970.        828.283        3728.98        9.36800        5.26123     
  148485.        828.283        3732.81        9.38177        5.26936     
  150000.        828.283        3736.79        9.39638        5.27820     
  10.0000        842.424        3209.34        7.78744        4.45028     
  1525.05        842.424        3218.06        7.80719        4.46496     
  3040.10        842.424        3227.51        7.82942        4.48004     
  4555.15        842.424        3306.80        7.97873        4.59892     
  6070.20        842.424        3311.78        7.99321        4.60538     
  7585.25        842.424        3316.23        8.00580        4.61039     
  9100.30        842.424        3320.66        8.01826        4.61536     
  10615.4        842.424        3325.08        8.03084        4.62042     
  12130.4        842.424        3346.08        8.10013        4.65189     
